turma,periodo,professor,horario,cod_disciplina,,
1,2023.1,FERNANDO PAIVA SCARDUA (60h),35T23,CEM0054,,
1,2023.1,RAPHAEL LANA SEABRA (30h),3N12,CEM0056,,
1,2023.1,JALES DANTAS DA COSTA (30h),3N12,CEM0056,,
1,2023.1,AILTA BARROS DE SOUZA (30h),5N1234,CEM0058,,
1,2023.1,MARCIA GUEDES VIEIRA (30h),5N1234,CEM0058,,
1,2023.1,KEILA CRISTIANNE TRINDADE DA CRUZ (30h),4T23,CEM0068,,
1,2023.1,ANDREA MATHES FAUSTINO (30h),4T23,CEM0068,,
1,2023.1,CLOVIS NEUMANN (15h),3T23,CEM0088,,
1,2023.1,ANDRE LUIZ MARQUES SERRANO (15h),3T23,CEM0088,,
1,2023.1,MANOEL PEREIRA DE ANDRADE (60h),2M1234,CEM0110,,
1,2023.1,JOÃO LUIZ HOMEM DE CARVALHO (60h),2M1234,CEM0110,,
1,2023.1,LUCAS BRITO DE LIMA (60h),3N1234,CEM0117,,
1,2023.1,RENATA MELO BARBOSA DO NASCIMENTO (60h),4N1234 (28/03/2023 - 25/07/2023),CEM0125,,
1,2023.1,MARIA CARMEN AIRES GOMES (60h),35T45,CEM0129,,
1,2023.1,LUIS ANTONIO PASQUETTI (15h),6N1 (28/03/2023 - 25/07/2023),CEM0132,,
1,2023.1,ISABEL SANTOS DO NASCIMENTO FORMIGA (60h),3T2345,CEM0133,,
1,2023.1,GINA VIEIRA PONTE DE ALBUQUERQUE (60h),3T2345,CEM0133,,
1,2023.1,LUANA NERY MORAES (60h),3T2345,CEM0133,,
1,2023.1,ADRIANO SOUZA SENKEVICS (60h),2M1234 (28/03/2023 - 25/07/2023),CEM0134,,
1,2023.1,TATIANE DOS SANTOS DUARTE (60h),35N12 (28/03/2023 - 25/07/2023),CEM0135,,
1,2023.1,ANTONIO RAIMUNDO LIMA CRUZ TEIXEIRA (60h),6M1234 (28/03/2023 - 25/07/2023),CEM0136,,
1,2023.1,GUILLERMO JOSE ASPER Y VALDES (30h),4M12,CEM0137,,
1,2023.1,FRANCISCO JAVIER CONTRERAS PINEDA (30h),2M34,CEM0138,,
1,2023.1,MARIA HENRIQUETA CAMAROTTI COSTA (30h),5M34 (28/03/2023 - 25/07/2023),CEM0139,,
1,2023.1,ROMULO GUILHERME FERREIRA DA SILVA (15h),6M1234,CEM1102,,
1,2023.1,PAULO RAMOS COELHO FILHO (30h),6M1234,CEM1102,,
1,2023.1,RAFAELA ROCHA FEIJÓ (15h),6M1234,CEM1102,,
1,2023.1,MONIQUE TERESINHA PYRRHO DE SOUZA SILVA (60h),6M1234 (28/03/2023 - 25/07/2023),CBH0002,,
1,2023.1,MARTINO GARONZI (75h),24M34 6M5,DPG0025,,
1,2023.1,RENATO PINTO DA CUNHA (15h),3T45,DPG0155,,
1,2023.1,GREGORIO LUIS SILVA ARAUJO (15h),3T45,DPG0155,,
1,2023.1,MARCUS VINICIUS DA SILVA LUNGUINHO (22h),5T345,DPG0187,,
1,2023.1,ROZANA REIGOTA NAVES (23h),5T345,DPG0187,,
1,2023.1,DAVI ALEXSANDRO CARDOSO FERREIRA (60h),35T23,DPG0271,,
1,2023.1,DANIELE NUNES HENRIQUE SILVA (30h),2T23,DPG0289,,
1,2023.1,ALICE MARIA DE ARAUJO FERREIRA (60h),3T2345,DPG0341,,
1,2023.1,LINEU JOSE PEDROSO (60h),35M34,DPG0364,,
1,2023.1,ANDRE MURILO DE ALMEIDA PINTO (60h),6M1234,DPG0434,,
1,2023.1,ANDRE PACHECO DE ASSIS (30h),2M12,DPG0456,,
1,2023.1,THEO ALLAN DARN ZAPATA (75h),35T45 6T4,DPG0479,,
3,2023.1,THEO ALLAN DARN ZAPATA (75h),35T45 6T4,DPG0479,,
1,2023.1,CLAUDIA MARCIA LYRA PATO (60h),4T2345,DPG0597,,
1,2023.1,KLEBER MELO E SILVA (60h),35M12,DPG0677,,
1,2023.1,FRANCISCO ASSIS DE OLIVEIRA NASCIMENTO (60h),24T45,DPG0786,,
1,2023.1,ANDRE PACHECO DE ASSIS (30h),5M34,DPG0878,,
1,2023.1,AUGUSTO RODRIGUES DA SILVA JUNIOR (30h),7N12,DPG0890,,
1,2023.1,MARINA MARIA SILVA MAGALHAES (45h),3M234,DPG0928,,
1,2023.1,UGO SILVA DIAS (60h),24M12,DPG1068,,
1,2023.1,JOSE CARLOS PAES DE ALMEIDA FILHO (60h),5T2345,DPG1081,,
1,2023.1,GUILHERME SOUZA RODRIGUES (60h),24T23,DPG1124,,
1,2023.1,ALEXANDRE SIMOES PILATI (60h),2M1234,DPG1153,,
1,2023.1,PATRICIA TUXI DOS SANTOS (30h),3T23,DPG1175,,
1,2023.1,CARLA TATIANA MOTA ANFLOR (60h),24M34,DPG1232,,
1,2023.1,ALAN RICARDO DA SILVA (30h),6M34,DPG1254,,
1,2023.1,RODRIGO SANTOS DE FARIA (60h),4N1234 (28/03/2023 - 25/07/2023),DPG1255,,
1,2023.1,DANIEL CHAVES CAFE (60h),35M34,DPG1256,,
1,2023.1,DANIEL GUERREIRO E SILVA (60h),35T45,DPG1257,,
1,2023.1,SEBASTIEN ROLAND MARIE JOSEPH RONDINEAU (60h),5M1234,DPG1258,,
1,2023.1,NEANDER FURTADO SILVA (60h),5M1234,DPG1259,,
1,2023.1,DANIEL MAURICIO MUNOZ ARBOLEDA (60h),35M12,DPG1261,,
1,2023.1,JOAO JOSE COSTA GONDIM (60h),35N12,DPG1262,,
1,2023.1,CAROLINA QUEIROZ ANDRADE (22h),5T234 (28/03/2023 - 25/07/2023),DPG1263,,
1,2023.1,CINTIA DA SILVA PACHECO (23h),5T234 (28/03/2023 - 25/07/2023),DPG1263,,
1,2023.1,SHEILA GIARDINI MURTA (15h),5M3,DPG1264,,
1,2023.1,PAULO ROBERTO MENEZES LIMA JUNIOR (60h),2T2345,DPG1265,,
1,2023.1,GUSTAVO MACEDO DE MELLO BAPTISTA (30h),5M34 (28/03/2023 - 25/07/2023),DPG1266,,
1,2023.1,SUZANA MOREIRA AVILA (60h),4M1234,DPG1267,,
1,2023.1,PATRICIA TUXI DOS SANTOS (30h),2T23,DPG1268,,
1,2023.1,JULIANA EUGENIA CAIXETA (60h),5T2345,DEX1108,,
1,2023.1,PABLO GONCALO PIRES DE CAMPOS MARTINS (60h),5M1234,DAP0008,,
1,2023.1,ISABELA LARA OLIVEIRA (60h),4T2345,DAP0011,,
1,2023.1,MAURO GIUNTINI VIANA (60h),6M1234,DAP0017,,
1,2023.1,RAQUEL PACHECO MELLO CUNHA (60h),5M1234,DAP0021,,
1,2023.1,EDMUNDO BRANDAO DANTAS (30h),2M34,DAP0030,,
1,2023.1,RAQUEL PACHECO MELLO CUNHA (60h),6M1234,DAP0042,,
1,2023.1,EDMUNDO BRANDAO DANTAS (30h),6M12,DAP0044,,
1,2023.1,SUELEN BRANDES MARQUES VALENTE (60h),2M1234,DAP0060,,
1,2023.1,JOAO BATISTA LANARI BO (60h),5M1234,DAP0067,,
1,2023.1,EDUARDO BENTES MONTEIRO (60h),35T23,DAP0079,,
2,2023.1,EDUARDO BENTES MONTEIRO (60h),35M34,DAP0079,,
2,2023.1,MARIANA FERREIRA LOPES (60h),5M1234,DAP0084,,
1,2023.1,SERGIO RIBEIRO DE AGUIAR SANTOS (30h),2M34,DAP0093,,
1,2023.1,ARMANDO BULCAO (30h),4M34,DAP0096,,
2,2023.1,CARLOS HENRIQUE NOVIS (30h),4N12,DAP0096,,
3,2023.1,NORLAN SOUZA DA SILVA (30h),2T23,DAP0096,,
3,2023.1,ARMANDO BULCAO (30h),2T23,DAP0096,,
4,2023.1,CARLOS HENRIQUE NOVIS (30h),2T45,DAP0096,,
5,2023.1,RAQUEL PACHECO MELLO CUNHA (30h),4M12,DAP0096,,
1,2023.1,BEATRIZ BERALDO BATISTA (30h),5T23,DAP0098,,
2,2023.1,BEATRIZ BERALDO BATISTA (30h),2T23,DAP0098,,
1,2023.1,ISABELA LARA OLIVEIRA (60h),3T2345,DAP0101,,
2,2023.1,LUCIANO MENDES DE SOUZA (12h),5T2345,DAP0101,,
2,2023.1,RAFAEL DIETZSCH (28h),5T2345,DAP0101,,
2,2023.1,PRISCILA MONTEIRO BORGES (20h),5T2345,DAP0101,,
1,2023.1,JOAO BATISTA LANARI BO (60h),3M1234,DAP0103,,
1,2023.1,PABLO GONCALO PIRES DE CAMPOS MARTINS (60h),4M1234,DAP0104,,
1,2023.1,DENISE MORAES CAVALCANTE (30h),3M34,DAP0105,,
1,2023.1,MAURO GIUNTINI VIANA (30h),2M34,DAP0107,,
1,2023.1,SERGIO RIBEIRO DE AGUIAR SANTOS (30h),2M12,DAP0108,,
1,2023.1,MAURICIO GOMES DA SILVA FONTELES (60h),4M1234,DAP0110,,
1,2023.1,MAURICIO GOMES DA SILVA FONTELES (30h),5M34,DAP0111,,
1,2023.1,DENISE MORAES CAVALCANTE (60h),5M1234,DAP0115,,
1,2023.1,SERGIO RIBEIRO DE AGUIAR SANTOS (60h),3T23 5T45,DAP0117,,
1,2023.1,SERGIO RIBEIRO DE AGUIAR SANTOS (60h),3T45 5T23,DAP0118,,
1,2023.1,MARCELO FEIJO ROCHA LIMA (60h),6M1234,DAP0120,,
1,2023.1,MARIA FERNANDA DANGELO VALENTIM (90h),4M12  2T2345,DAP0123,,
1,2023.1,EDMUNDO BRANDAO DANTAS (90h),4M12  2T2345,DAP0123,,
1,2023.1,SUELEN BRANDES MARQUES VALENTE (60h),4M1234,DAP0124,,
1,2023.1,RAFAEL DIETZSCH (60h),35M34,DAP0125,,
2,2023.1,BEATRIZ BERALDO BATISTA (60h),2M1234,DAP0126,,
1,2023.1,LUCIANO MENDES DE SOUZA (240h),3456M1234,DAP0128,,
2,2023.1,CARINA LUISA OCHI FLEXOR (168h),3456M1234,DAP0128,,
2,2023.1,CARINA LUISA OCHI FLEXOR (72h),3456M1234,DAP0128,,
1,2023.1,PRISCILA MONTEIRO BORGES (60h),3M1234,DAP0130,,
4,2023.1,NORLAN SOUZA DA SILVA (60h),3T2345,DAP0143,,
5,2023.1,MARIANA SOUTO DE MELO SILVA (60h),4T2345,DAP0143,,
1,2023.1,RAQUEL PACHECO MELLO CUNHA (60h),2M1234,DAP0145,,
2,2023.1,PABLO GONCALO PIRES DE CAMPOS MARTINS (60h),5T2345,DAP0145,,
3,2023.1,RAFAEL DIETZSCH (26h),4M1234,DAP0145,,
3,2023.1,PRISCILA MONTEIRO BORGES (26h),4M1234,DAP0145,,
3,2023.1,EDUARDO LUSTOSA BELGA (8h),4M1234,DAP0145,,
1,2023.1,MARIANA SOUTO DE MELO SILVA (60h),6M1234,DAP0147,,
1,2023.1,MAURO GIUNTINI VIANA (60h),4M1234,DAP0149,,
1,2023.1,ÍTALO CAJUEIRO DE OLIVEIRA (60h),6T2345,DAP0150,,
1,2023.1,MARIANA SOUTO DE MELO SILVA (30h),3M34,DAP0154,,
1,2023.1,MAURICIO GOMES DA SILVA FONTELES (60h),2M1234,DAP0158,,
2,2023.1,EDUARDO BENTES MONTEIRO (30h),5T45,DAP0164,,
3,2023.1,RAFAEL DIETZSCH (30h),2M34,DAP0164,,
1,2023.1,RAFIZA LUZIANI VARAO RIBEIRO CARVALHO (4h),3T2345,DAP0170,,
1,2023.1,LILIANE MARIA MACEDO MACHADO (4h),3T2345,DAP0170,,
1,2023.1,ARMANDO BULCAO (30h),3M34,DAP0171,,
1,2023.1,BEATRIZ BERALDO BATISTA (60h),35M12,DAP0172,,
1,2023.1,MAURICIO GOMES DA SILVA FONTELES (30h),6M12,DAP0174,,
1,2023.1,DENISE MORAES CAVALCANTE (60h),4M1234,DAP0175,,
1,2023.1,MAURICIO GOMES DA SILVA FONTELES (60h),3M1234,DAP0176,,
1,2023.1,CRISTIANE PARENTE DE SA BARRETO (60h),4N1234,COM0002,,
1,2023.1,DIONE OLIVEIRA MOURA (90h),5T2345 7T23,COM0006,,
2,2023.1,LUIZA SPINOLA AMARAL (90h),7T23  5N1234,COM0006,,
1,2023.1,MARIANA FERREIRA LOPES (35h),3T2345 7T45,COM0007,,
1,2023.1,MILENA DOS SANTOS MARRA (35h),3T2345 7T45,COM0007,,
1,2023.1,DIONE OLIVEIRA MOURA (20h),3T2345 7T45,COM0007,,
2,2023.1,GISELE PIMENTA DE OLIVEIRA (90h),7M34  4T2345,COM0007,,
1,2023.1,FABIOLA ORLANDO CALAZANS MACHADO (60h),3N1234,COM0127,,
1,2023.1,DELCIA MARIA DE MATTOS VIDAL (60h),5N1234,COM0128,,
1,2023.1,GUILHERME LOBAO DE QUEIROZ (60h),2N1234,COM0129,,
1,2023.1,TIAGO QUIROGA FAUSTO NETO (60h),6N1234,COM0130,,
1,2023.1,ELEN CRISTINA GERALDES (60h),4N1234,COM0131,,
1,2023.1,GABRIELA PEREIRA DE FREITAS (30h),4N1234,COM0132,,
1,2023.1,DELCIA MARIA DE MATTOS VIDAL (30h),4N1234,COM0132,,
1,2023.1,TIAGO QUIROGA FAUSTO NETO (60h),5N1234,COM0133,,
1,2023.1,LUIZA SPINOLA AMARAL (60h),6N1234,COM0134,,
1,2023.1,CARLOS HENRIQUE NOVIS (60h),2N1234,COM0135,,
1,2023.1,JOAO JOSE AZEVEDO CURVELLO (60h),3N1234,COM0136,,
1,2023.1,LUISA GUIMARAES LIMA (60h),5N1234,COM0137,,
2,2023.1,LUISA GUIMARAES LIMA (60h),35T56,COM0137,,
1,2023.1,GABRIELA PEREIRA DE FREITAS (60h),3N1234,COM0138,,
1,2023.1,JOAO JOSE AZEVEDO CURVELLO (60h),4N1234,COM0139,,
1,2023.1,ELEN CRISTINA GERALDES (60h),2N1234,COM0140,,
1,2023.1,LUISA GUIMARAES LIMA (60h),3N1234,COM0141,,
2,2023.1,LUISA GUIMARAES LIMA (60h),24T56,COM0141,,
1,2023.1,LUIZA SPINOLA AMARAL (60h),4N1234,COM0142,,
2,2023.1,LUIZA SPINOLA AMARAL (60h),46T56,COM0142,,
1,2023.1,KATIA MARIA BELISARIO (60h),2N1234,COM0143,,
1,2023.1,ABRA T AFRAA LIONCO (60h),5N1234,COM0144,,
1,2023.1,GUILHERME LOBAO DE QUEIROZ (60h),3N1234,COM0145,,
1,2023.1,SIVALDO PEREIRA DA SILVA (60h),4N1234,COM0146,,
1,2023.1,GISELE PIMENTA DE OLIVEIRA (60h),26N1234,COM0147,,
1,2023.1,DELCIA MARIA DE MATTOS VIDAL (30h),3N1234,COM0148,,
1,2023.1,GISELE PIMENTA DE OLIVEIRA (30h),3N1234,COM0148,,
1,2023.1,MARIA AMELIA PAIVA ABRAO (60h),2N1234,COM0149,,
1,2023.1,FERNANDA CASAGRANDE MARTINELLI LIMA GRANJA XAVIER DA SILVA (60h),4N1234,COM0150,,
2,2023.1,MARIA AMELIA PAIVA ABRAO (60h),24T56,COM0150,,
1,2023.1,MARIA AMELIA PAIVA ABRAO (60h),5N1234,COM0151,,
1,2023.1,ABRA T AFRAA LIONCO (60h),456N1234,COM0152,,
1,2023.1,FABIOLA ORLANDO CALAZANS MACHADO (60h),456N1234,COM0152,,
1,2023.1,FERNANDA CASAGRANDE MARTINELLI LIMA GRANJA XAVIER DA SILVA (60h),456N1234,COM0152,,
1,2023.1,KATIA MARIA BELISARIO (60h),3N1234,COM0153,,
2,2023.1,SIVALDO PEREIRA DA SILVA (60h),3N1234,COM0153,,
1,2023.1,GABRIELA PEREIRA DE FREITAS (60h),4T2345,COM0157,,
1,2023.1,FATIMA APARECIDA DOS SANTOS (60h),4T2345,DIN0003,,
1,2023.1,ANDRE CAMARGO THOME MAYA MONTEIRO (60h),5T2345,DIN0004,,
1,2023.1,GABRIEL LYRA CHAVES (60h),6T2345,DIN0006,,
1,2023.1,DANIEL FERNANDES BATISTA DE OLIVEIRA (60h),6T2345,DIN0006,,
1,2023.1,FELIX ALVES DA SILVA JUNIOR (60h),6T2345,DIN0006,,
1,2023.1,RENATA CRISTINA QUEIROZ RINALDI (60h),6T2345,DIN0006,,
1,2023.1,SYMONE RODRIGUES JARDIM (60h),2M1234,DIN0007,,
1,2023.1,ANDRE CAMARGO THOME MAYA MONTEIRO (60h),5M1234,DIN0008,,
2,2023.1,ANDRE CAMARGO THOME MAYA MONTEIRO (60h),6M1234,DIN0008,,
1,2023.1,ANDRE CAMARGO THOME MAYA MONTEIRO (60h),7T1234,DIN0010,,
2,2023.1,DANIELA FAVARO GARROSSINI (60h),7T1234,DIN0010,,
3,2023.1,GABRIEL LYRA CHAVES (60h),7T1234,DIN0010,,
4,2023.1,SYMONE RODRIGUES JARDIM (60h),7T1234,DIN0010,,
5,2023.1,TIAGO BARROS PONTES E SILVA (60h),7T1234,DIN0010,,
6,2023.1,MIGUEL EDUARDO GUTIERREZ PAREDES (60h),7T1234,DIN0010,,
6,2023.1,RAPHAEL MOURA CARDOSO (60h),7T1234,DIN0010,,
7,2023.1,NAYARA MORENO DE SIQUEIRA (60h),7T1234,DIN0010,,
8,2023.1,ROGERIO JOSE CAMARA (60h),7T1234,DIN0010,,
9,2023.1,ANA CLAUDIA MAYNARDES (60h),7T1234,DIN0010,,
10,2023.1,ANA MANSUR DE OLIVEIRA (60h),7T1234,DIN0010,,
11,2023.1,FATIMA APARECIDA DOS SANTOS (60h),7T1234,DIN0010,,
12,2023.1,GEORGIA MARIA DE CASTRO SANTOS (60h),7T1234,DIN0010,,
13,2023.1,MIGUEL EDUARDO GUTIERREZ PAREDES (60h),7T56  7N12,DIN0010,,
14,2023.1,MARISA COBBE MAASS (60h),7T1234,DIN0010,,
15,2023.1,VIRGINIA TIRADENTES SOUTO (60h),7T1234,DIN0010,,
16,2023.1,RAFAEL DIETZSCH (60h),7N1234,DIN0010,,
17,2023.1,DANIELA PEREIRA BARBOSA (60h),7T1234,DIN0010,,
1,2023.1,GEORGIA MARIA DE CASTRO SANTOS (60h),2M1234,DIN0011,,
1,2023.1,VIRGINIA TIRADENTES SOUTO (60h),3M1234,DIN0012,,
1,2023.1,ANA MANSUR DE OLIVEIRA (60h),4T2345,DIN0013,,
1,2023.1,MARISA COBBE MAASS (60h),35T23,DIN0020,,
1,2023.1,TIAGO BARROS PONTES E SILVA (60h),4M1234,DIN0023,,
1,2023.1,DANIELA FAVARO GARROSSINI (60h),3M1234,DIN0031,,
1,2023.1,NAYARA MORENO DE SIQUEIRA (60h),6M1234,DIN0034,,
1,2023.1,GABRIEL LYRA CHAVES (90h),35T123,DIN0037,,
1,2023.1,ANA CLAUDIA MAYNARDES (90h),2T123456,DIN0039,,
1,2023.1,ANA MANSUR DE OLIVEIRA (90h),2T123456,DIN0040,,
1,2023.1,GEORGIA MARIA DE CASTRO SANTOS (90h),4M12345  4T1,DIN0041,,
1,2023.1,ROGERIO JOSE CAMARA (90h),5T123456,DIN0042,,
1,2023.1,NAYARA MORENO DE SIQUEIRA (90h),3M12345  3T1,DIN0043,,
1,2023.1,MIGUEL EDUARDO GUTIERREZ PAREDES (90h),5T123456,DIN0044,,
1,2023.1,MIGUEL EDUARDO GUTIERREZ PAREDES (90h),25M345,DIN0045,,
1,2023.1,ANA CLAUDIA MAYNARDES (60h),35M12,DIN0046,,
1,2023.1,ANDRE CAMARGO THOME MAYA MONTEIRO (60h),2T2345,DIN0047,,
1,2023.1,ROGERIO JOSE CAMARA (60h),46M12,DIN0049,,
1,2023.1,ANDRE CAMARGO THOME MAYA MONTEIRO (90h),6T123456,DIN0050,,
1,2023.1,SYMONE RODRIGUES JARDIM (90h),5M12345  5T1,DIN0051,,
1,2023.1,VIRGINIA TIRADENTES SOUTO (90h),5M12345  5T1,DIN0052,,
1,2023.1,DANIELA FAVARO GARROSSINI (90h),5M12345  5T1,DIN0052,,
1,2023.1,ANDREA SAMPAIO TIBERY (30h),3T23,DIN0059,,
2,2023.1,FELIX ALVES DA SILVA JUNIOR (30h),6M34,DIN0059,,
2,2023.1,RENATA CRISTINA QUEIROZ RINALDI (30h),6M34,DIN0059,,
2,2023.1,DANIEL FERNANDES BATISTA DE OLIVEIRA (30h),6M34,DIN0059,,
2,2023.1,GABRIEL LYRA CHAVES (30h),6M34,DIN0059,,
1,2023.1,DANIELA PEREIRA BARBOSA (30h),5M12,DIN0061,,
1,2023.1,ANA CECILIA LAURINDO SCHETTINO (30h),6M34,DIN0063,,
1,2023.1,ROGERIO JOSE CAMARA (30h),6M34,DIN0063,,
1,2023.1,LUCAS HENRIQUES NEGRELLI (30h),6M12,DIN0065,,
